name,min_stock_amount,location_id,product_group_id,sub,Description
Gros sel,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Sel,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Épice guacamole,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Ail en poudre,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Poivre,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Paprika,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Pesto,0,Frigo,"Épices & sauce & aromates & condiments",,
Cumin,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Curry,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Curcuma,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Thym,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Romarin,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Herbes de Provence,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Bouquet garni,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Basilic (frais),0,Frigo,"Épices & sauce & aromates & condiments",,
Basilic (surgelé),1,Congelateur,"Épices & sauce & aromates & condiments",,
Coriandre (frais),1,Congelateur,"Épices & sauce & aromates & condiments",,
Coriandre (surgelé),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Persil (frais),0,Congelateur,"Épices & sauce & aromates & condiments",,
Persil (surgelé),1,Congelateur,"Épices & sauce & aromates & condiments",,
Chili,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Ciboulette (frais),0,Frigo,"Épices & sauce & aromates & condiments",,
Ciboulette (surgelé),0,Placard,"Épices & sauce & aromates & condiments",,
Origan,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Laurier,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Cannelle,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Aneth,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Muscade,1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Sauge,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Estragon,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment,0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment rouge (frais),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment vert (moulu),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment rouge (frais),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment vert (moulu),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment de Cayenne (frais),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Piment de Cayenne (moulu),0,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Mélange mexican,2,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Mélange espagnol,2,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Gingembre (frais),1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Gingembre (moulu),1,Chariot épices (VESKEN),"Épices & sauce & aromates & condiments",,
Huiles pimentée,1,Placard,"Épices & sauce & aromates & condiments",,
Huiles pour friture,0,Placard,"Épices & sauce & aromates & condiments",,
Huiles de cuisson,1,Placard,"Épices & sauce & aromates & condiments",,
Huiles aromatiques,1,Placard,"Épices & sauce & aromates & condiments",,
Huile Isio 4,0,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Huile d'arachide,0,Placard,"Épices & sauce & aromates & condiments",,
Huile d'avocat,0,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Huile d'olive,1,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Huile de coco,0,Placard,"Épices & sauce & aromates & condiments",,
Huile de colza,0,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Huile de lin,0,Placard,"Épices & sauce & aromates & condiments",Huiles aromatiques,
Huile de noisette,0,Placard,"Épices & sauce & aromates & condiments",Huiles aromatiques,
Huile de noix,0,Placard,"Épices & sauce & aromates & condiments",Huiles aromatiques,
Huile de pépins de raisin,0,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Huile de sésame,0,Placard,"Épices & sauce & aromates & condiments",Huiles aromatiques,
Huile de tournesol,1,Placard,"Épices & sauce & aromates & condiments",Huiles de cuisson,
Vinaigre,1,Placard,"Épices & sauce & aromates & condiments",,
Vinaigre balsamique,1,Placard,"Épices & sauce & aromates & condiments",,
Crème balsamique,0,Placard,"Épices & sauce & aromates & condiments",,
Vinaigre blanc (alimentaire),0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de Xérès,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de cidre,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de riz,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de vin aux noix,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de vin blanc,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigre de vin rouge,0,Placard,"Épices & sauce & aromates & condiments",Vinaigre,
Vinaigrette,0,Placard,"Épices & sauce & aromates & condiments",,
Tabasco,1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce tomate cuisinée (bocal),2000,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce tomate cuisinée (tube),1,Frigo,"Épices & sauce & aromates & condiments",,
Tomate (concentré),1,Bibliotheque,"Épices & sauce & aromates & condiments",,
Purée de tomate,2,Bibliotheque,"Épices & sauce & aromates & condiments",,
Sauce moutarde,1,Frigo,"Épices & sauce & aromates & condiments",,
Sauce mayonnaise,1,Frigo,"Épices & sauce & aromates & condiments",,
Sauce ketchup,1,Frigo,"Épices & sauce & aromates & condiments",,
Sauce samouraï,0,Frigo,"Épices & sauce & aromates & condiments",,
Sauce barbecue,1,Frigo,"Épices & sauce & aromates & condiments",,
Sauce andalouse,0,Frigo,"Épices & sauce & aromates & condiments",,
Sauce algérienne,0,Frigo,"Épices & sauce & aromates & condiments",,
